ano,país,valor_fob_usd
2017,Cabo Verde,93003
2017,Camarões,1160735
2017,Camboja,31209994
2017,Canadá,1840259618
2017,"Canal, Ilhas do (Guernsey)",59264
2017,"Canárias, Ilhas",33
2017,Catar,445863721
2017,"Cayman, Ilhas",2223510
2017,Cazaquistão,53278388
2017,Chade,37064
2017,Chile,3455481218
2017,China,27553978176
2017,Chipre,7073549
2017,"Christmas (Navidad), Ilha",2420
2017,"Cocos (Keeling), Ilhas",19653
2017,Colômbia,1442693417
2017,Comores,23471
2017,Congo,9929075
2017,"Congo, República Democrática",9162268
2017,"Cook, Ilhas",1347
2017,Coreia do Norte,2973558
2017,Coreia do Sul,5272709951
2017,Costa Rica,57847807
2017,Costa do Marfim,72623734
2017,Coveite (Kuweit),135393509
2017,Croácia,16400912
2017,Cuba,19741396
2017,Curaçao,13138807
2017,Dinamarca,595187531
2017,Djibuti,6916
2017,Dominica,3435
2017,Egito,155477370
2017,El Salvador,5649824
2017,Emirados Árabes Unidos,186951032
2017,Equador,131759674
2017,Eritreia,93
2017,Eslováquia,118502847
2017,Eslovênia,70706550
2017,Espanha,2958906027
2017,Estados Unidos,27809786079
2017,Estônia,41544135
2017,Etiópia,330137
2017,Falkland (Malvinas),12689
2017,"Faroe, Ilhas",27177
2017,Fiji,63898
2017,Filipinas,251460617
2017,Finlândia,525867756
2017,França,4677275791
2017,Gabão,10230
2017,Gana,185194571
2017,Geórgia,638534
2017,Gibraltar,16179
2017,Granada,39120
2017,Grécia,30233985
2017,Guadalupe,37462
2017,Guatemala,31438898
2017,Guiana,5279386
2017,Guiana Francesa,2448
2017,Guiné,10221623
2017,Guiné Equatorial,72142980
2017,Gâmbia,1647
2017,Haiti,1114577
2017,Honduras,13352827
2017,Hong Kong,579466479
2017,Hungria,357354534
2017,Ilha de Man,80519
2017,Indonésia,1377289307
2017,Iraque,125371946
2017,Irlanda,520510132
2017,Irã,40900733
2017,Islândia,15306777
2017,Israel,894427398
2017,Itália,4163728471
2017,Iêmen,22354
2017,Jamaica,631497
2017,Japão,4069052037
2017,"Johnston, Ilhas",19469
2017,Jordânia,7519394
2017,Kiribati,3944
2017,Laos,876483
2017,Lesoto,51430
2017,Letônia,11004439
2017,Libéria,2440858
2017,Liechtenstein,10010886
2017,Lituânia,29950305
2017,Luxemburgo,40915861
2017,Líbano,19582926
2017,Líbia,39972757
2017,Macau,3648725
2017,Macedônia,3771821
2017,Madagascar,1852606
2017,"Madeira, Ilha da",82569
2017,Malavi,1282710
2017,Maldivas,16
2017,Mali,6234
2017,Malta,17431957
2017,Malásia,1503965461
2017,"Marianas do Norte, Ilhas",2304
2017,Marrocos,878642722
2017,"Marshall, Ilhas",49280
2017,Mauritânia,351732
2017,Maurício,976076
2017,Mianmar,4027320
2017,Micronésia,1845
2017,"Midway, Ilhas",4263
2017,Moldávia,2607317
2017,Mongólia,84538
2017,Montenegro,207989
2017,Montserrat,3124
2017,Moçambique,139632073
2017,México,4411471034
2017,Mônaco,3980100
2017,Namíbia,240886
2017,Nauru,6
2017,Nepal,349012
2017,Nicarágua,2826087
2017,Nigéria,829011210
2017,"Norfolk, Ilha",6490
2017,Noruega,502052696
2017,Nova Caledônia,748819
2017,Nova Zelândia,59362679
2017,Níger,31900
2017,Omã,138562468
2017,Organizações Internacionais,290
2017,"Pacífico, Ilhas do (EUA)",517812
2017,Palau,2607
2017,Palestina,280863
2017,Panamá,10145027
2017,Papua Nova Guiné,6379
2017,Paquistão,54664896
2017,Paraguai,2790031723
2017,Países Baixos (Holanda),1908576713
2017,Peru,1620567567
2017,Pitcairn,6494
2017,Polinésia Francesa,2640
2017,Polônia,594190242
2017,Porto Rico,243008284
2017,Portugal,903998968
2017,Quirguistão,75071
2017,Quênia,1356702
2017,Reino Unido,2416252312
2017,República Centro-Africana,10822
2017,República Dominicana,15709940
2017,Reunião,2897
2017,Romênia,329175479
2017,Ruanda,4017
2017,Rússia,2665817852
2017,Saara Ocidental,2135
2017,Samoa,1590451
2017,San Marino,9648957
2017,Santa Helena,162
2017,Santa Lúcia,109505
2017,Seicheles,120559
2017,Senegal,3107508
2017,Serra Leoa,29385
2017,Singapura,680652029
2017,Sint Maarten,439
2017,Somália,251
2017,Sri Lanka,56828659
2017,Suazilândia,387798
2017,Sudão,580340
2017,Sudão do Sul,24756
2017,Suriname,5366982
2017,Suécia,1185886734
2017,Suíça,1985965565
2017,São Cristóvão e Névis,698055
2017,São Vicente e Granadinas,102
2017,Sérvia,21388721
2017,Síria,1335719
2017,Tadjiquistão,429360
2017,Tailândia,1584398741
2017,Taiwan (Formosa),2026077063
2017,Tanzânia,52679
2017,"Tcheca, República",511426363
2017,Timor Leste,3812
2017,Togo,39639
2017,Tonga,2933
2017,Toquelau,5981768
2017,Trinidad e Tobago,198349103
2017,Tunísia,52942355
2017,"Turcas e Caicos, Ilhas",2577
2017,Turcomenistão,5910376
2017,Turquia,588657015
2017,Tuvalu,11
2017,Ucrânia,25864928
2017,Uganda,110658
2017,Uruguai,1324108585
2017,Uzbequistão,724850
2017,Vanuatu,216
2017,Venezuela,391691018
2017,Vietnã,2186426849
2017,"Virgens, Ilhas (Americanas)",25985270
2017,"Virgens, Ilhas (Britânicas)",2853265
2017,"Wake, Ilha",114274
2017,Zimbábue,436582
2017,Zâmbia,7294532
2017,África do Sul,490144016
2017,Áustria,955374749
2017,Índia,2984915255
2018,Afeganistão,419589
2018,"Aland, Ilhas",25184
2018,Albânia,1388876
2018,Alemanha,10939098260
2018,Andorra,10477
2018,Angola,210887005
2018,Anguilla,139882
2018,Antilhas Holandesas,29858
2018,Antártica,17100
2018,Antígua e Barbuda,89677
2018,Argentina,11128984988
2018,Argélia,2419577995
2018,Armênia,160277
2018,Aruba,56430
2018,Arábia Saudita,2318572298
2018,Austrália,1125271754
2018,Azerbaijão,587611
2018,Bahamas,2056572
2018,Bangladesh,213325601
2018,Barbados,55867
2018,Barein,116531484
2018,Belarus,591025237
2018,Belize,954165
2018,Benin,2482
2018,Bermudas,23479
2018,Bolívia,1636482915
2018,"Bonaire, Saint Eustatius e Saba",908
2018,Botsuana,4404
2018,Brasil,345880403
2018,Brunei,278272
2018,Bulgária,62943986
2018,Burundi,274
2018,Butão,199936
2018,Bélgica,1888830790
2018,Bósnia-Herzegovina,2727249
2018,Cabo Verde,31254
2018,Camarões,1685960
2018,Camboja,41285281
2018,Canadá,2375750843
2018,"Canal, Ilhas do (Guernsey)",238
2018,Catar,272924666
2018,"Cayman, Ilhas",11391218
2018,Cazaquistão,80308980
2018,Chade,2707
2018,Chile,3381546141
2018,China,35157236888
2018,Chipre,1646028
2018,"Christmas (Navidad), Ilha",2374
2018,"Cocos (Keeling), Ilhas",7956
2018,Colômbia,1717531046
2018,Comores,96350
2018,Congo,95331
2018,"Congo, República Democrática",68590181
2018,"Cook, Ilhas",823
2018,Coreia do Norte,170490
2018,Coreia do Sul,5475177463
2018,Costa Rica,60935794
2018,Costa do Marfim,55264719
2018,Coveite (Kuweit),212936998
2018,Croácia,14508262
